date,confirmed,recovered,deaths
2020-04-01,1000,50,20
2020-04-02,1200,70,25
2020-04-03,1500,100,30
2020-04-04,1800,150,40
2020-04-05,2200,200,50
2020-04-06,2600,300,65
2020-04-07,3100,400,80
2020-04-08,3700,550,95
2020-04-09,4500,700,110
2020-04-10,5300,900,130
2020-04-11,6200,1100,150
2020-04-12,7200,1400,180
2020-04-13,8300,1700,210
2020-04-14,9500,2100,250
2020-04-15,10800,2600,300
2020-04-16,12200,3200,360
2020-04-17,13700,3900,430
2020-04-18,15300,4700,510
2020-04-19,17000,5600,600
2020-04-20,18800,6600,700
